索引,核酸提取编号,华大编号,提取日期,样本类型,核酸类型,样本体积(ml)/质量(mg),提取方法,浓度(ng/ul),体积(ul),冰箱位置,孔板号,孔位,提取总量(ng),成功建库使用量(ng),失败建库使用量(ng),科研项目使用量(ng),其他使用量(ng),剩余量(ng),备注,上次修改时间,创建时间
35,19P0126560,19P0126560,2000-01-01,P,cfDNA,1.5,无,0.464,42.0,无,无,无,19.488,0.0,0.0,0.0,0.0,19.488,无,2020/08/21 02:35,2020/08/21 02:35
36,19P0126559,19P0126559,2000-01-01,P,cfDNA,3.1,无,1.44,42.0,无,无,无,60.48,10.0,0.0,0.0,0.0,50.48,无,2020/08/21 02:36,2020/08/21 02:35
37,19P0126558,19P0126558,2000-01-01,P,cfDNA,1.5,无,0.592,42.0,无,无,无,24.864,0.0,0.0,0.0,0.0,24.864,无,2020/08/21 02:35,2020/08/21 02:35
38,19P0126557,19P0126557,2000-01-01,P,cfDNA,1.9,无,0.234,42.0,无,无,无,9.828,10.0,0.0,0.0,0.0,-0.172,无,2020/08/21 02:36,2020/08/21 02:35
39,19P0126556,19P0126556,2000-01-01,P,cfDNA,2.9,无,0.736,42.0,无,无,无,30.912,10.0,0.0,0.0,0.0,20.912,无,2020/08/21 02:36,2020/08/21 02:35
40,19P0126555,19P0126555,2000-01-01,P,cfDNA,2.4,无,0.422,42.0,无,无,无,17.724,0.0,0.0,0.0,0.0,17.724,无,2020/08/21 02:35,2020/08/21 02:35
41,19P0126554,19P0126554,2000-01-01,P,cfDNA,2.6,无,0.404,42.0,无,无,无,16.968,0.0,0.0,0.0,0.0,16.968,无,2020/08/21 02:35,2020/08/21 02:35
42,19P0126553,19P0126553,2000-01-01,P,cfDNA,3.2,无,2.9,42.0,无,无,无,121.8,10.0,0.0,0.0,0.0,111.8,无,2020/08/21 02:36,2020/08/21 02:35
43,19P0126552,19P0126552,2000-01-01,P,cfDNA,2.8,无,1.22,42.0,无,无,无,51.24,10.0,0.0,0.0,0.0,41.24,无,2020/08/21 02:36,2020/08/21 02:35
44,19P0126551,19P0126551,2000-01-01,P,cfDNA,2.5,无,0.808,42.0,无,无,无,33.936,10.0,0.0,0.0,0.0,23.936,无,2020/08/21 02:36,2020/08/21 02:35
45,19P0126550,19P0126550,2000-01-01,P,cfDNA,1.6,无,0.358,42.0,无,无,无,15.036,0.0,0.0,0.0,0.0,15.036,无,2020/08/21 02:35,2020/08/21 02:35
46,19P0126549,19P0126549,2000-01-01,P,cfDNA,3.4,无,1.34,42.0,无,无,无,56.28,10.0,0.0,0.0,0.0,46.28,无,2020/08/21 02:36,2020/08/21 02:35
47,19P0126548,19P0126548,2000-01-01,P,cfDNA,3.1,无,0.68,42.0,无,无,无,28.56,0.0,0.0,0.0,0.0,28.56,无,2020/08/21 02:35,2020/08/21 02:35
48,19P0126547,19P0126547,2000-01-01,P,cfDNA,2.9,无,0.908,42.0,无,无,无,38.136,10.0,0.0,0.0,0.0,28.136,无,2020/08/21 02:36,2020/08/21 02:35
49,19P0126546,19P0126546,2000-01-01,P,cfDNA,2.2,无,0.402,42.0,无,无,无,16.884,0.0,0.0,0.0,0.0,16.884,无,2020/08/21 02:35,2020/08/21 02:35
50,19P0126545,19P0126545,2000-01-01,P,cfDNA,3.2,无,3.78,42.0,无,无,无,158.76,10.0,0.0,0.0,0.0,148.76,无,2020/08/21 02:36,2020/08/21 02:35
51,19P0126544,19P0126544,2000-01-01,P,cfDNA,2.9,无,8.96,42.0,无,无,无,376.32,10.0,0.0,0.0,0.0,366.32,无,2020/08/21 02:36,2020/08/21 02:35
52,19P0126542,19P0126542,2000-01-01,P,cfDNA,3.0,无,0.512,42.0,无,无,无,21.504,0.0,0.0,0.0,0.0,21.504,无,2020/08/21 02:35,2020/08/21 02:35
53,19P0126541,19P0126541,2000-01-01,P,cfDNA,2.5,无,0.368,42.0,无,无,无,15.456,0.0,0.0,0.0,0.0,15.456,无,2020/08/21 02:35,2020/08/21 02:35
54,19P0126540,19P0126540,2000-01-01,P,cfDNA,1.5,无,0.272,42.0,无,无,无,11.424,10.0,0.0,0.0,0.0,1.424,无,2020/08/21 02:36,2020/08/21 02:35
55,19P0126539,19P0126539,2000-01-01,P,cfDNA,3.4,无,0.432,42.0,无,无,无,18.144,0.0,0.0,0.0,0.0,18.144,无,2020/08/21 02:35,2020/08/21 02:35
56,19P0126538,19P0126538,2000-01-01,P,cfDNA,2.9,无,1.13,42.0,无,无,无,47.46,10.0,0.0,0.0,0.0,37.46,无,2020/08/21 02:36,2020/08/21 02:35
57,19P0126537,19P0126537,2000-01-01,P,cfDNA,2.4,无,0.756,42.0,无,无,无,31.752,10.0,0.0,0.0,0.0,21.752,无,2020/08/21 02:36,2020/08/21 02:35
58,19P0126536,19P0126536,2000-01-01,P,cfDNA,2.4,无,1.13,42.0,无,无,无,47.46,10.0,0.0,0.0,0.0,37.46,无,2020/08/21 02:36,2020/08/21 02:35
59,19P0126535,19P0126535,2000-01-01,P,cfDNA,3.2,无,0.842,42.0,无,无,无,35.364,10.0,0.0,0.0,0.0,25.364,无,2020/08/21 02:36,2020/08/21 02:35
60,19P0126534,19P0126534,2000-01-01,P,cfDNA,2.7,无,0.928,42.0,无,无,无,38.976,10.0,0.0,0.0,0.0,28.976,无,2020/08/21 02:36,2020/08/21 02:35
61,19P0126533,19P0126533,2000-01-01,P,cfDNA,2.8,无,0.948,42.0,无,无,无,39.816,10.0,0.0,0.0,0.0,29.816,无,2020/08/21 02:36,2020/08/21 02:35
62,19P0126532,19P0126532,2000-01-01,P,cfDNA,2.9,无,0.428,42.0,无,无,无,17.976,0.0,0.0,0.0,0.0,17.976,无,2020/08/21 02:35,2020/08/21 02:35
63,19P0126531,19P0126531,2000-01-01,P,cfDNA,2.8,无,0.406,42.0,无,无,无,17.052,0.0,0.0,0.0,0.0,17.052,无,2020/08/21 02:35,2020/08/21 02:35
64,19P0126530,19P0126530,2000-01-01,P,cfDNA,3.0,无,1.32,42.0,无,无,无,55.44,10.0,0.0,0.0,0.0,45.44,无,2020/08/21 02:36,2020/08/21 02:35
65,19P0126529,19P0126529,2000-01-01,P,cfDNA,3.2,无,1.09,42.0,无,无,无,45.78,10.0,0.0,0.0,0.0,35.78,无,2020/08/21 02:36,2020/08/21 02:35
66,19P0126528,19P0126528,2000-01-01,P,cfDNA,3.5,无,1.21,42.0,无,无,无,50.82,10.0,0.0,0.0,0.0,40.82,无,2020/08/21 02:36,2020/08/21 02:35
67,19P0126527,19P0126527,2000-01-01,P,cfDNA,2.8,无,0.588,42.0,无,无,无,24.696,0.0,0.0,0.0,0.0,24.696,无,2020/08/21 02:35,2020/08/21 02:35
68,19P0126526,19P0126526,2000-01-01,P,cfDNA,2.9,无,0.514,42.0,无,无,无,21.588,0.0,0.0,0.0,0.0,21.588,无,2020/08/21 02:35,2020/08/21 02:35
69,19P0126525,19P0126525,2000-01-01,P,cfDNA,1.5,无,0.626,42.0,无,无,无,26.292,0.0,0.0,0.0,0.0,26.292,无,2020/08/21 02:35,2020/08/21 02:35
70,19P0126524,19P0126524,2000-01-01,P,cfDNA,3.0,无,0.65,42.0,无,无,无,27.3,0.0,0.0,0.0,0.0,27.3,无,2020/08/21 02:35,2020/08/21 02:35
71,19P0126523,19P0126523,2000-01-01,P,cfDNA,2.9,无,0.786,42.0,无,无,无,33.012,10.0,0.0,0.0,0.0,23.012,无,2020/08/21 02:36,2020/08/21 02:35
72,19P0126522,19P0126522,2000-01-01,P,cfDNA,2.9,无,0.582,42.0,无,无,无,24.444,0.0,0.0,0.0,0.0,24.444,无,2020/08/21 02:35,2020/08/21 02:35
73,19P0126521,19P0126521,2000-01-01,P,cfDNA,3.2,无,0.73,42.0,无,无,无,30.66,10.0,0.0,0.0,0.0,20.66,无,2020/08/21 02:36,2020/08/21 02:35
74,19P0126520,19P0126520,2000-01-01,P,cfDNA,3.0,无,0.976,42.0,无,无,无,40.992,10.0,0.0,0.0,0.0,30.992,无,2020/08/21 02:36,2020/08/21 02:35
75,19P0126519,19P0126519,2000-01-01,P,cfDNA,2.8,无,1.59,42.0,无,无,无,66.78,10.0,0.0,0.0,0.0,56.78,无,2020/08/21 02:36,2020/08/21 02:35
76,19P0126518,19P0126518,2000-01-01,P,cfDNA,3.0,无,1.67,42.0,无,无,无,70.14,10.0,0.0,0.0,0.0,60.14,无,2020/08/21 02:36,2020/08/21 02:35
77,19P0126517,19P0126517,2000-01-01,P,cfDNA,2.9,无,1.1,42.0,无,无,无,46.2,10.0,0.0,0.0,0.0,36.2,无,2020/08/21 02:36,2020/08/21 02:35
78,19P0126516,19P0126516,2000-01-01,P,cfDNA,3.0,无,0.704,42.0,无,无,无,29.568,0.0,0.0,0.0,0.0,29.568,无,2020/08/21 02:35,2020/08/21 02:35
79,19P0126515,19P0126515,2000-01-01,P,cfDNA,2.8,无,1.13,42.0,无,无,无,47.46,10.0,0.0,0.0,0.0,37.46,无,2020/08/21 02:36,2020/08/21 02:35
80,19P0126514,19P0126514,2000-01-01,P,cfDNA,1.4,无,0.39,42.0,无,无,无,16.38,0.0,0.0,0.0,0.0,16.38,无,2020/08/21 02:35,2020/08/21 02:35
81,19P0126513,19P0126513,2000-01-01,P,cfDNA,2.4,无,0.286,42.0,无,无,无,12.012,10.0,0.0,0.0,0.0,2.012,无,2020/08/21 02:36,2020/08/21 02:35
82,19P0126512,19P0126512,2000-01-01,P,cfDNA,0.8,无,0.494,42.0,无,无,无,20.748,0.0,0.0,0.0,0.0,20.748,无,2020/08/21 02:35,2020/08/21 02:35
83,19P0126511,19P0126511,2000-01-01,P,cfDNA,2.8,无,0.486,42.0,无,无,无,20.412,0.0,0.0,0.0,0.0,20.412,无,2020/08/21 02:35,2020/08/21 02:35
84,19P0126510,19P0126510,2000-01-01,P,cfDNA,2.5,无,0.76,42.0,无,无,无,31.92,10.0,0.0,0.0,0.0,21.92,无,2020/08/21 02:36,2020/08/21 02:35
85,19P0126509,19P0126509,2000-01-01,P,cfDNA,1.0,无,0.334,42.0,无,无,无,14.028,10.0,0.0,0.0,0.0,4.028,无,2020/08/21 02:36,2020/08/21 02:35
86,19P0126508,19P0126508,2000-01-01,P,cfDNA,2.5,无,0.662,42.0,无,无,无,27.804,0.0,0.0,0.0,0.0,27.804,无,2020/08/21 02:35,2020/08/21 02:35
87,19P0126507,19P0126507,2000-01-01,P,cfDNA,1.0,无,0.544,42.0,无,无,无,22.848,0.0,0.0,0.0,0.0,22.848,无,2020/08/21 02:35,2020/08/21 02:35
88,19P0126506,19P0126506,2000-01-01,P,cfDNA,0.8,无,0.55,42.0,无,无,无,23.1,0.0,0.0,0.0,0.0,23.1,无,2020/08/21 02:35,2020/08/21 02:35
89,19P0126505,19P0126505,2000-01-01,P,cfDNA,2.0,无,0.862,42.0,无,无,无,36.204,10.0,0.0,0.0,0.0,26.204,无,2020/08/21 02:36,2020/08/21 02:35
90,19P0126504,19P0126504,2000-01-01,P,cfDNA,0.8,无,0.496,42.0,无,无,无,20.832,0.0,0.0,0.0,0.0,20.832,无,2020/08/21 02:35,2020/08/21 02:35
91,19P0126503,19P0126503,2000-01-01,P,cfDNA,1.2,无,0.524,42.0,无,无,无,22.008,0.0,0.0,0.0,0.0,22.008,无,2020/08/21 02:35,2020/08/21 02:35
92,19P0126502,19P0126502,2000-01-01,P,cfDNA,2.8,无,0.702,42.0,无,无,无,29.484,0.0,0.0,0.0,0.0,29.484,无,2020/08/21 02:35,2020/08/21 02:35
93,19P0126501,19P0126501,2000-01-01,P,cfDNA,0.7,无,0.31,42.0,无,无,无,13.02,10.0,0.0,0.0,0.0,3.02,无,2020/08/21 02:36,2020/08/21 02:35
94,19P0126499,19P0126499,2000-01-01,P,cfDNA,0.8,无,0.402,42.0,无,无,无,16.884,0.0,0.0,0.0,0.0,16.884,无,2020/08/21 02:35,2020/08/21 02:35
95,19P0126498,19P0126498,2000-01-01,P,cfDNA,2.2,无,0.79,42.0,无,无,无,33.18,10.0,0.0,0.0,0.0,23.18,无,2020/08/21 02:36,2020/08/21 02:35
96,19P0126497,19P0126497,2000-01-01,P,cfDNA,2.5,无,0.97,42.0,无,无,无,40.74,10.0,0.0,0.0,0.0,30.74,无,2020/08/21 02:36,2020/08/21 02:35
97,19P0126496,19P0126496,2000-01-01,P,cfDNA,2.8,无,0.83,42.0,无,无,无,34.86,10.0,0.0,0.0,0.0,24.86,无,2020/08/21 02:36,2020/08/21 02:35
98,19P0126495,19P0126495,2000-01-01,P,cfDNA,2.8,无,1.0,42.0,无,无,无,42.0,10.0,0.0,0.0,0.0,32.0,无,2020/08/21 02:36,2020/08/21 02:35
99,19P5803660,19P5803660,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.53,43.0,无,无,无,65.79,10.0,0.0,0.0,0.0,55.79,无,2020/08/21 02:36,2020/08/21 02:35
100,19P5803659,19P5803659,2000-01-01,P,cfDNA,4.0,美基XP双选法,4.06,43.0,无,无,无,174.58,10.0,0.0,0.0,0.0,164.58,无,2020/08/21 02:36,2020/08/21 02:35
101,19P6714067,19P6714067,2000-01-01,P,cfDNA,4.0,美基XP双选法,4.08,43.0,无,无,无,175.44,10.0,0.0,0.0,0.0,165.44,无,2020/08/21 02:36,2020/08/21 02:35
102,19P5803658,19P5803658,2000-01-01,P,cfDNA,4.0,美基XP双选法,8.6,43.0,无,无,无,369.8,10.0,0.0,0.0,0.0,359.8,无,2020/08/21 02:36,2020/08/21 02:35
103,19P5803657,19P5803657,2000-01-01,P,cfDNA,4.0,美基XP双选法,6.14,43.0,无,无,无,264.02,10.0,0.0,0.0,0.0,254.02,无,2020/08/21 02:36,2020/08/21 02:35
104,19P5803656,19P5803656,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.3,43.0,无,无,无,55.9,10.0,0.0,0.0,0.0,45.9,无,2020/08/21 02:36,2020/08/21 02:35
105,19P5803655,19P5803655,2000-01-01,P,cfDNA,4.0,美基XP双选法,8.14,43.0,无,无,无,350.02,10.0,0.0,0.0,0.0,340.02,无,2020/08/21 02:36,2020/08/21 02:35
106,19P5803654,19P5803654,2000-01-01,P,cfDNA,4.0,美基XP双选法,2.44,43.0,无,无,无,104.92,10.0,0.0,0.0,0.0,94.92,无,2020/08/21 02:36,2020/08/21 02:35
107,19P5803653,19P5803653,2000-01-01,P,cfDNA,4.0,美基XP双选法,13.9,43.0,无,无,无,597.7,10.0,0.0,0.0,0.0,587.7,无,2020/08/21 02:36,2020/08/21 02:35
108,19P5803652,19P5803652,2000-01-01,P,cfDNA,4.0,美基XP双选法,6.82,43.0,无,无,无,293.26,10.0,0.0,0.0,0.0,283.26,无,2020/08/21 02:36,2020/08/21 02:35
109,19P5803651,19P5803651,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.412,43.0,无,无,无,17.716,10.0,0.0,0.0,0.0,7.716,无,2020/08/21 02:36,2020/08/21 02:35
110,19P5803650,19P5803650,2000-01-01,P,cfDNA,3.0,美基XP双选法,1.29,43.0,无,无,无,55.47,10.0,0.0,0.0,0.0,45.47,无,2020/08/21 02:36,2020/08/21 02:35
111,19P5803649,19P5803649,2000-01-01,P,cfDNA,4.0,美基XP双选法,3.64,43.0,无,无,无,156.52,10.0,0.0,0.0,0.0,146.52,无,2020/08/21 02:36,2020/08/21 02:35
112,19P5803648,19P5803648,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.77,43.0,无,无,无,76.11,10.0,0.0,0.0,0.0,66.11,无,2020/08/21 02:36,2020/08/21 02:35
113,19P5803647,19P5803647,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.49,43.0,无,无,无,64.07,10.0,0.0,0.0,0.0,54.07,无,2020/08/21 02:36,2020/08/21 02:35
114,19P5803646,19P5803646,2000-01-01,P,cfDNA,4.0,美基XP双选法,2.12,43.0,无,无,无,91.16,10.0,0.0,0.0,0.0,81.16,无,2020/08/21 02:36,2020/08/21 02:35
115,19P5803645,19P5803645,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.592,43.0,无,无,无,25.456,10.0,0.0,0.0,0.0,15.456,无,2020/08/21 02:36,2020/08/21 02:35
116,19P5803644,19P5803644,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.07,43.0,无,无,无,46.01,10.0,0.0,0.0,0.0,36.01,无,2020/08/21 02:36,2020/08/21 02:35
117,19P5803643,19P5803643,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.8,43.0,无,无,无,77.4,10.0,0.0,0.0,0.0,67.4,无,2020/08/21 02:36,2020/08/21 02:35
118,19P5803642,19P5803642,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.33,43.0,无,无,无,57.19,10.0,0.0,0.0,0.0,47.19,无,2020/08/21 02:36,2020/08/21 02:35
119,19P5803641,19P5803641,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.41,43.0,无,无,无,60.63,10.0,0.0,0.0,0.0,50.63,无,2020/08/21 02:36,2020/08/21 02:35
120,19P5803640,19P5803640,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.89,43.0,无,无,无,81.27,10.0,0.0,0.0,0.0,71.27,无,2020/08/21 02:36,2020/08/21 02:35
121,19P5803639,19P5803639,2000-01-01,P,cfDNA,4.0,美基XP双选法,2.96,43.0,无,无,无,127.28,10.0,0.0,0.0,0.0,117.28,无,2020/08/21 02:36,2020/08/21 02:35
122,19P5803638,19P5803638,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.664,43.0,无,无,无,28.552,10.0,0.0,0.0,0.0,18.552,无,2020/08/21 02:36,2020/08/21 02:35
123,19P5803637,19P5803637,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.95,43.0,无,无,无,83.85,10.0,0.0,0.0,0.0,73.85,无,2020/08/21 02:36,2020/08/21 02:35
124,19P5803636,19P5803636,2000-01-01,P,cfDNA,4.0,美基XP双选法,7.14,43.0,无,无,无,307.02,10.0,0.0,0.0,0.0,297.02,无,2020/08/21 02:36,2020/08/21 02:35
125,19P5803635,19P5803635,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.938,43.0,无,无,无,40.334,10.0,0.0,0.0,0.0,30.334,无,2020/08/21 02:36,2020/08/21 02:35
126,19P5803634,19P5803634,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.708,43.0,无,无,无,30.444,10.0,0.0,0.0,0.0,20.444,无,2020/08/21 02:36,2020/08/21 02:35
127,19P5803633,19P5803633,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.62,43.0,无,无,无,69.66,10.0,0.0,0.0,0.0,59.66,无,2020/08/21 02:36,2020/08/21 02:35
128,19P5803632,19P5803632,2000-01-01,P,cfDNA,4.0,美基XP双选法,11.7,43.0,无,无,无,503.1,10.0,0.0,0.0,0.0,493.1,无,2020/08/21 02:36,2020/08/21 02:35
129,19P5803631,19P5803631,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.61,43.0,无,无,无,69.23,10.0,0.0,0.0,0.0,59.23,无,2020/08/21 02:36,2020/08/21 02:35
130,19P5803630,19P5803630,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.548,43.0,无,无,无,23.564,10.0,0.0,0.0,0.0,13.564,无,2020/08/21 02:36,2020/08/21 02:35
131,19P5803629,19P5803629,2000-01-01,P,cfDNA,4.0,美基XP双选法,2.04,43.0,无,无,无,87.72,10.0,0.0,0.0,0.0,77.72,无,2020/08/21 02:36,2020/08/21 02:35
132,19P5803628,19P5803628,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.74,43.0,无,无,无,74.82,10.0,0.0,0.0,0.0,64.82,无,2020/08/21 02:36,2020/08/21 02:35
133,19P5803627,19P5803627,2000-01-01,P,cfDNA,4.0,美基XP双选法,1.7,43.0,无,无,无,73.1,10.0,0.0,0.0,0.0,63.1,无,2020/08/21 02:36,2020/08/21 02:35
134,19P5803626,19P5803626,2000-01-01,P,cfDNA,4.0,美基XP双选法,9.82,43.0,无,无,无,422.26,10.0,0.0,0.0,0.0,412.26,无,2020/08/21 02:36,2020/08/21 02:35
135,19P5803625,19P5803625,2000-01-01,P,cfDNA,4.0,美基XP双选法,10.4,43.0,无,无,无,447.2,10.0,0.0,0.0,0.0,437.2,无,2020/08/21 02:36,2020/08/21 02:35
136,19P5803624,19P5803624,2000-01-01,P,cfDNA,4.0,美基XP双选法,11.4,43.0,无,无,无,490.2,10.0,0.0,0.0,0.0,480.2,无,2020/08/21 02:36,2020/08/21 02:35
137,19P5803623,19P5803623,2000-01-01,P,cfDNA,4.0,美基XP双选法,10.9,43.0,无,无,无,468.7,10.0,0.0,0.0,0.0,458.7,无,2020/08/21 02:36,2020/08/21 02:35
138,19P5803622,19P5803622,2000-01-01,P,cfDNA,4.0,美基XP双选法,0.46,43.0,无,无,无,19.78,10.0,0.0,0.0,0.0,9.78,无,2020/08/21 02:36,2020/08/21 02:35
